
(base) C:\Users\user>conda activate gpu_env

(gpu_env) C:\Users\user>d:

(gpu_env) D:\>cd D:\Mitosis WSI CCMCT

(gpu_env) D:\Mitosis WSI CCMCT>python data_segregation_status.py
D:\Mitosis WSI CCMCT\data_segregation_status.py:7: SyntaxWarning: invalid escape sequence '\M'
  base_dir = Path("D:\Mitosis WSI CCMCT")
[05-02-2026 20:13:27] Non: 12720, Mit: 2007 | Total: 14727 | Speed: 14727/min | Average: 14727/min
[05-02-2026 20:14:29] Non: 12720, Mit: 2007 | Total: 14727 | Speed: 0/min | Average: 7363/min
[05-02-2026 20:15:29] Non: 12721, Mit: 2007 | Total: 14728 | Speed: 1/min | Average: 4909/min
[05-02-2026 20:16:29] Non: 12722, Mit: 2007 | Total: 14729 | Speed: 1/min | Average: 3682/min
[05-02-2026 20:17:29] Non: 12725, Mit: 2007 | Total: 14732 | Speed: 3/min | Average: 2946/min
[05-02-2026 20:18:29] Non: 12725, Mit: 2007 | Total: 14732 | Speed: 0/min | Average: 2455/min
[05-02-2026 20:19:29] Non: 12725, Mit: 2007 | Total: 14732 | Speed: 0/min | Average: 2104/min
[05-02-2026 20:20:29] Non: 12726, Mit: 2007 | Total: 14733 | Speed: 1/min | Average: 1841/min
[05-02-2026 20:21:29] Non: 12726, Mit: 2007 | Total: 14733 | Speed: 0/min | Average: 1637/min
[05-02-2026 20:22:29] Non: 12726, Mit: 2007 | Total: 14733 | Speed: 0/min | Average: 1473/min
[05-02-2026 20:23:29] Non: 12726, Mit: 2007 | Total: 14733 | Speed: 0/min | Average: 1339/min
[05-02-2026 20:24:29] Non: 12727, Mit: 2007 | Total: 14734 | Speed: 1/min | Average: 1227/min
[05-02-2026 20:25:29] Non: 12727, Mit: 2007 | Total: 14734 | Speed: 0/min | Average: 1133/min
[05-02-2026 20:26:29] Non: 12727, Mit: 2007 | Total: 14734 | Speed: 0/min | Average: 1052/min
[05-02-2026 20:27:29] Non: 12727, Mit: 2007 | Total: 14734 | Speed: 0/min | Average: 982/min
[05-02-2026 20:28:29] Non: 12727, Mit: 2007 | Total: 14734 | Speed: 0/min | Average: 920/min
[05-02-2026 20:29:29] Non: 12727, Mit: 2007 | Total: 14734 | Speed: 0/min | Average: 866/min
[05-02-2026 20:30:29] Non: 12728, Mit: 2007 | Total: 14735 | Speed: 1/min | Average: 818/min
[05-02-2026 20:31:29] Non: 12728, Mit: 2007 | Total: 14735 | Speed: 0/min | Average: 775/min
[05-02-2026 20:32:29] Non: 12728, Mit: 2007 | Total: 14735 | Speed: 0/min | Average: 736/min
[05-02-2026 20:33:29] Non: 12728, Mit: 2007 | Total: 14735 | Speed: 0/min | Average: 701/min
[05-02-2026 20:34:29] Non: 12728, Mit: 2007 | Total: 14735 | Speed: 0/min | Average: 669/min
[05-02-2026 20:35:29] Non: 12728, Mit: 2007 | Total: 14735 | Speed: 0/min | Average: 640/min
[05-02-2026 20:36:29] Non: 12728, Mit: 2007 | Total: 14735 | Speed: 0/min | Average: 613/min
[05-02-2026 20:37:29] Non: 12728, Mit: 2007 | Total: 14735 | Speed: 0/min | Average: 589/min
[05-02-2026 20:38:29] Non: 12728, Mit: 2007 | Total: 14735 | Speed: 0/min | Average: 566/min
[05-02-2026 20:39:29] Non: 12728, Mit: 2007 | Total: 14735 | Speed: 0/min | Average: 545/min
[05-02-2026 20:40:29] Non: 12728, Mit: 2007 | Total: 14735 | Speed: 0/min | Average: 526/min
[05-02-2026 20:41:29] Non: 12729, Mit: 2007 | Total: 14736 | Speed: 1/min | Average: 508/min
[05-02-2026 20:42:29] Non: 12729, Mit: 2007 | Total: 14736 | Speed: 0/min | Average: 491/min
[05-02-2026 20:43:29] Non: 12730, Mit: 2007 | Total: 14737 | Speed: 1/min | Average: 475/min
[05-02-2026 20:44:29] Non: 12734, Mit: 2007 | Total: 14741 | Speed: 4/min | Average: 460/min
[05-02-2026 20:45:29] Non: 12738, Mit: 2007 | Total: 14745 | Speed: 4/min | Average: 446/min
[05-02-2026 20:46:29] Non: 12739, Mit: 2007 | Total: 14746 | Speed: 1/min | Average: 433/min
[05-02-2026 20:47:29] Non: 12739, Mit: 2007 | Total: 14746 | Speed: 0/min | Average: 421/min
[05-02-2026 20:48:29] Non: 12740, Mit: 2007 | Total: 14747 | Speed: 1/min | Average: 409/min
[05-02-2026 20:49:29] Non: 12740, Mit: 2007 | Total: 14747 | Speed: 0/min | Average: 398/min
[05-02-2026 20:50:29] Non: 12741, Mit: 2007 | Total: 14748 | Speed: 1/min | Average: 388/min
[05-02-2026 20:51:29] Non: 12741, Mit: 2007 | Total: 14748 | Speed: 0/min | Average: 378/min
[05-02-2026 20:52:29] Non: 12741, Mit: 2007 | Total: 14748 | Speed: 0/min | Average: 368/min
[05-02-2026 20:53:29] Non: 12741, Mit: 2007 | Total: 14748 | Speed: 0/min | Average: 359/min
[05-02-2026 20:54:29] Non: 12741, Mit: 2007 | Total: 14748 | Speed: 0/min | Average: 351/min
[05-02-2026 20:55:31] Non: 12741, Mit: 2007 | Total: 14748 | Speed: 0/min | Average: 342/min
[05-02-2026 20:56:31] Non: 12741, Mit: 2007 | Total: 14748 | Speed: 0/min | Average: 335/min
[05-02-2026 20:57:31] Non: 12741, Mit: 2007 | Total: 14748 | Speed: 0/min | Average: 327/min
