uid,coordinateX,coordinateY,slide,annoId,orderIdx
41346,10297,27344,4,41346,
41347,9736,35941,4,41347,
41348,12012,34270,4,41348,
41349,12159,33871,4,41349,
41350,11592,34384,4,41350,
41351,11600,34326,4,41351,
41352,12656,28613,4,41352,
41353,13266,31320,4,41353,
41354,12936,33984,4,41354,
41355,14325,33852,4,41355,
41356,15464,20149,4,41356,
41357,16379,21490,4,41357,
41358,17653,19357,4,41358,
41359,16813,23873,4,41359,
41360,17368,24205,4,41360,
41361,16680,33691,4,41361,
41362,18548,16437,4,41362,
41363,18616,30306,4,41363,
41364,20561,16358,4,41364,
41365,29351,7306,4,41365,
41366,35163,45406,4,41366,
41367,3985,33929,4,41367,
41368,4037,34056,4,41368,
41369,3818,35200,4,41369,
41370,3834,35424,4,41370,
41371,3740,36069,4,41371,
41372,3853,36648,4,41372,
41373,3748,36504,4,41373,
41374,4024,39125,4,41374,
41375,3823,40071,4,41375,
41376,4085,40105,4,41376,
41377,3965,44183,4,41377,
41378,3997,45139,4,41378,
41380,4114,47813,4,41380,
41381,4029,47990,4,41381,
41382,42389,11044,4,41382,
41383,41741,15077,4,41383,
41384,42458,16658,4,41384,
41385,50799,28054,4,41385,
41386,53056,9699,4,41386,
41387,52914,13016,4,41387,
41388,52954,12997,4,41388,
41389,53454,26635,4,41389,
41390,5280,30252,4,41390,
41391,4713,32890,4,41391,
41392,4808,32762,4,41392,
41393,4723,33607,4,41393,
41394,5234,33984,4,41394,
41395,5254,34414,4,41395,
41396,4491,33889,4,41396,
41397,4609,33897,4,41397,
41399,4897,34060,4,41399,
41400,4912,34423,4,41400,
41401,4923,33776,4,41401,
41402,4942,34100,4,41402,
41403,5043,34354,4,41403,
41404,5088,34109,4,41404,
41405,4237,34667,4,41405,
41406,4296,34760,4,41406,
41407,4506,34664,4,41407,
41408,4654,34919,4,41408,
41409,4609,35468,4,41409,
41410,4704,35179,4,41410,
41411,4721,35348,4,41411,
41412,4739,35267,4,41412,
41413,4535,36006,4,41413,
41414,4553,36182,4,41414,
41415,4167,35911,4,41415,
41416,4559,35972,4,41416,
41417,4172,36232,4,41417,
41418,4204,36370,4,41418,
41419,5042,36104,4,41419,
41420,4665,36767,4,41420,
41421,4677,36567,4,41421,
41422,5193,37636,4,41422,
41423,5353,37751,4,41423,
41424,4320,37331,4,41424,
41425,4404,37491,4,41425,
41426,4431,37481,4,41426,
41427,4567,37684,4,41427,
41428,4576,37418,4,41428,
41429,4932,37723,4,41429,
41430,4460,38225,4,41430,
41431,4941,38171,4,41431,
41432,4963,38361,4,41432,
41433,4979,38400,4,41433,
41434,4467,38831,4,41434,
41435,4491,38821,4,41435,
41436,4849,38556,4,41436,
41437,5257,39439,4,41437,
41439,5409,39489,4,41439,
41440,4643,39693,4,41440,
41441,4708,39739,4,41441,
41442,5077,39601,4,41442,
41444,4409,40232,4,41444,
41445,4436,40228,4,41445,
41446,4473,40224,4,41446,
41447,4832,39973,4,41447,
41448,5194,41028,4,41448,
41449,5425,40665,4,41449,
41450,4322,40774,4,41450,
41451,4368,40543,4,41451,
41452,5296,41810,4,41452,
41453,5460,41483,4,41453,
41454,4327,41494,4,41454,
41455,4357,41473,4,41455,
41456,4701,41345,4,41456,
41457,4790,41744,4,41457,
41458,4849,41568,4,41458,
41459,4883,41241,4,41459,
41460,4909,41252,4,41460,
41461,4982,41781,4,41461,
41462,5001,41359,4,41462,
41463,5306,42016,4,41463,
41464,5416,42131,4,41464,
41465,5437,42089,4,41465,
41466,5442,42469,4,41466,
41467,5453,42129,4,41467,
41468,5456,42064,4,41468,
41469,5128,43149,4,41469,
41470,4230,43104,4,41470,
41471,5406,43086,4,41471,
41472,5415,42810,4,41472,
41473,5420,42695,4,41473,
41474,5422,42577,4,41474,
41475,5437,42709,4,41475,
41476,5447,42593,4,41476,
41477,4284,42974,4,41477,
41478,4304,43038,4,41478,
41479,4357,43065,4,41479,
41480,4417,42869,4,41480,
41481,4427,42740,4,41481,
41482,4440,43003,4,41482,
41483,4457,42912,4,41483,
41484,4466,42956,4,41484,
41485,4480,42764,4,41485,
41486,4484,42669,4,41486,
41487,4161,42965,4,41487,
41488,4513,43057,4,41488,
41489,4517,42789,4,41489,
41491,4551,43112,4,41491,
41492,4557,42820,4,41492,
41493,4828,42617,4,41493,
41494,5211,43363,4,41494,
41495,5243,43389,4,41495,
41496,5265,43295,4,41496,
41498,4298,43487,4,41498,
41499,4361,43638,4,41499,
41500,4473,43443,4,41500,
41502,4783,43585,4,41502,
41503,4862,43489,4,41503,
41504,4198,43395,4,41504,
41505,4205,43462,4,41505,
41506,4949,43396,4,41506,
41507,4979,43524,4,41507,
41508,5036,43455,4,41508,
41509,5136,43935,4,41509,
41510,4253,44130,4,41510,
41511,4156,44268,4,41511,
41512,4464,44165,4,41512,
41513,4793,44537,4,41513,
41514,4221,43948,4,41514,
41515,4245,44810,4,41515,
41516,4747,45781,4,41516,
41517,4583,46684,4,41517,
41518,4667,46654,4,41518,
41519,4710,46937,4,41519,
41520,4714,46849,4,41520,
41521,4744,46663,4,41521,
41522,4813,47043,4,41522,
41523,4881,46879,4,41523,
41524,4230,47490,4,41524,
41525,5336,47660,4,41525,
41526,5348,47543,4,41526,
41527,4364,47752,4,41527,
41528,4459,47282,4,41528,
41529,4471,47524,4,41529,
41530,4554,47426,4,41530,
41531,4557,47555,4,41531,
41532,4560,47731,4,41532,
41533,4574,47403,4,41533,
41534,4736,47810,4,41534,
41535,4748,47618,4,41535,
41536,4915,47450,4,41536,
41537,4918,47433,4,41537,
41538,4927,47873,4,41538,
41539,6783,31023,4,41539,
41540,6244,31483,4,41540,
41541,6615,31755,4,41541,
41542,6623,31959,4,41542,
41543,6670,32060,4,41543,
41544,6560,33062,4,41544,
41545,6540,33723,4,41545,
41546,6086,36820,4,41546,
41547,6338,36733,4,41547,
41549,6661,38044,4,41549,
41551,6628,40319,4,41551,
41552,6642,40062,4,41552,
41553,6806,40279,4,41553,
41554,6482,40022,4,41554,
41555,5724,41045,4,41555,
41556,6172,40946,4,41556,
41558,6338,41070,4,41558,
41559,6434,40593,4,41559,
41560,5627,41425,4,41560,
41561,5711,41295,4,41561,
41562,6235,44180,4,41562,
41563,7890,23335,4,41563,
41564,7913,23384,4,41564,
41565,8066,23189,4,41565,
41566,8113,23290,4,41566,
41567,8116,23522,4,41567,
41568,7595,23545,4,41568,
41569,7608,23503,4,41569,
41570,7611,23576,4,41570,
41571,7656,23507,4,41571,
41572,7679,23388,4,41572,
41573,7737,23587,4,41573,
41574,7793,23523,4,41574,
41575,8120,24679,4,41575,
41577,7576,27794,4,41577,
41578,8037,29772,4,41578,
41582,7396,32443,4,41582,
41583,7304,33191,4,41583,
41584,7425,33178,4,41584,
41585,7429,33370,4,41585,
41587,7200,39776,4,41587,
41588,7926,40020,4,41588,
41590,8071,40948,4,41590,
41591,8091,41029,4,41591,
41592,7149,40655,4,41592,
41593,7167,41130,4,41593,
41594,8185,42887,4,41594,
41595,7787,43336,4,41595,
41596,9388,16988,4,41596,
41597,9594,17152,4,41597,
41598,9153,26601,4,41598,
41599,8778,27559,4,41599,
41600,9127,36933,4,41600,
41601,9304,38383,4,41601,
41602,9182,37985,4,41602,
41604,8358,39075,4,41604,
41605,9469,38750,4,41605,
41808,21763,77042,7,41808,
41809,21995,77600,7,41809,
41810,21463,77449,7,41810,
41811,21921,77858,7,41811,
41812,21995,77819,7,41812,
41813,20786,77900,7,41813,
41814,21139,78743,7,41814,
41815,21191,78927,7,41815,
41816,21332,78391,7,41816,
41817,21147,79434,7,41817,
41818,21258,79550,7,41818,
41819,21852,79786,7,41819,
41820,21050,80223,7,41820,
41821,21157,80126,7,41821,
41822,21335,79953,7,41822,
41823,20841,80602,7,41823,
41824,20914,80362,7,41824,
41825,21889,81284,7,41825,
41826,21916,81342,7,41826,
41827,20804,81329,7,41827,
41828,20805,81224,7,41828,
41829,20939,81117,7,41829,
41830,20956,81217,7,41830,
41831,21074,81150,7,41831,
41832,21171,81490,7,41832,
41833,21238,81087,7,41833,
41834,21683,81982,7,41834,
41835,21717,82243,7,41835,
41836,21987,81986,7,41836,
41837,20772,81914,7,41837,
41838,20860,82030,7,41838,
41839,20989,82064,7,41839,
41840,22810,10228,7,41840,
41841,22079,11124,7,41841,
41842,22102,12414,7,41842,
41843,22203,12411,7,41843,
41844,23299,13139,7,41844,
41845,22360,13333,7,41845,
41846,22459,12945,7,41846,
41847,23055,13956,7,41847,
41848,23202,13612,7,41848,
41849,23097,17855,7,41849,
41850,22185,21127,7,41850,
41851,23052,22249,7,41851,
41852,22245,22137,7,41852,
41853,22584,21987,7,41853,
41854,23023,22469,7,41854,
41855,22152,24756,7,41855,
41856,22205,24756,7,41856,
41857,22909,24965,7,41857,
41858,23301,25238,7,41858,
41859,22906,25598,7,41859,
41860,22385,26191,7,41860,
41861,22656,25955,7,41861,
41862,23065,27495,7,41862,
41863,23128,33348,7,41863,
41864,22324,34226,7,41864,
41865,22548,34402,7,41865,
41866,22397,34626,7,41866,
41867,22637,34610,7,41867,
41868,23095,35631,7,41868,
41869,22588,35217,7,41869,
41870,22871,35771,7,41870,
41871,22631,35994,7,41871,
41872,23149,36853,7,41872,
41873,22142,37048,7,41873,
41874,22200,36627,7,41874,
41875,22692,36709,7,41875,
41876,23311,37182,7,41876,
