uid,person,class,annoId
270365,1,1,41346
270366,2,4,41346
270367,2,1,41347
270368,1,4,41347
270369,1,1,41348
270370,2,1,41348
270371,1,1,41349
270372,2,4,41349
270373,1,1,41350
270374,2,4,41350
270375,1,1,41351
270376,2,4,41351
270377,1,1,41352
270378,2,1,41352
270379,1,1,41353
270380,2,4,41353
270381,1,1,41354
270382,2,4,41354
270383,2,1,41355
270384,1,1,41355
270385,2,1,41356
270386,1,2,41356
270387,2,1,41357
270388,1,1,41357
270389,2,1,41358
270390,1,1,41358
270391,2,1,41359
270392,1,1,41359
270393,2,1,41360
270394,1,4,41360
270395,2,1,41361
270396,1,3,41361
270397,2,1,41362
270398,1,4,41362
270399,2,1,41363
270400,1,4,41363
270401,2,1,41364
270402,1,3,41364
270403,2,1,41365
270404,1,1,41365
270405,2,1,41366
270406,1,1,41366
270407,1,1,41367
270408,2,1,41367
270409,1,1,41368
270410,2,4,41368
270411,1,1,41369
270412,2,1,41369
270413,1,1,41370
270414,2,1,41370
270415,1,1,41371
270416,2,4,41371
270417,1,1,41372
270418,2,4,41372
270419,1,1,41373
270420,2,4,41373
270421,1,1,41374
270422,2,3,41374
270423,1,1,41375
270424,2,3,41375
270425,1,1,41376
270426,2,4,41376
270427,1,1,41377
270428,2,4,41377
270429,1,1,41378
270430,2,1,41378
270433,1,1,41380
270434,2,4,41380
270435,1,1,41381
270436,2,4,41381
270437,2,1,41382
270438,1,4,41382
270439,2,1,41383
270440,1,1,41383
270441,2,1,41384
270442,1,1,41384
270443,2,1,41385
270444,1,4,41385
270445,2,1,41386
270446,1,1,41386
270447,2,1,41387
270448,1,1,41387
270449,2,1,41388
270450,1,1,41388
270451,2,1,41389
270452,1,1,41389
270453,1,1,41390
270454,2,1,41390
270455,1,1,41391
270456,2,1,41391
270457,1,1,41392
270458,2,1,41392
270459,1,1,41393
270460,2,4,41393
270461,1,1,41394
270462,2,4,41394
270463,1,1,41395
270464,2,4,41395
270465,1,1,41396
270466,2,4,41396
270467,1,1,41397
270468,2,2,41397
270471,1,1,41399
270472,2,3,41399
270473,1,1,41400
270474,2,3,41400
270475,1,1,41401
270476,2,4,41401
270477,1,1,41402
270478,2,1,41402
270479,1,1,41403
270480,2,4,41403
270481,1,1,41404
270482,2,3,41404
270483,1,1,41405
270484,2,3,41405
270485,1,1,41406
270486,2,1,41406
270487,1,1,41407
270488,2,1,41407
270489,1,1,41408
270490,2,3,41408
270491,1,1,41409
270492,2,4,41409
270493,1,1,41410
270494,2,4,41410
270495,1,1,41411
270496,2,4,41411
270497,1,1,41412
270498,2,3,41412
270499,1,1,41413
270500,2,4,41413
270501,1,1,41414
270502,2,4,41414
270503,1,1,41415
270504,2,3,41415
270505,1,1,41416
270506,2,4,41416
270507,1,1,41417
270508,2,4,41417
270509,1,1,41418
270510,2,4,41418
270511,1,1,41419
270512,2,3,41419
270513,1,1,41420
270514,2,2,41420
270515,1,1,41421
270516,2,2,41421
270517,1,1,41422
270518,2,4,41422
270519,1,1,41423
270520,2,4,41423
270521,1,1,41424
270522,2,4,41424
270523,1,1,41425
270524,2,3,41425
270525,1,1,41426
270526,2,4,41426
270527,1,1,41427
270528,2,3,41427
270529,1,1,41428
270530,2,4,41428
270531,1,1,41429
270532,2,4,41429
270533,1,1,41430
270534,2,4,41430
270535,1,1,41431
270536,2,3,41431
270537,1,1,41432
270538,2,4,41432
270539,1,1,41433
270540,2,4,41433
270541,1,1,41434
270542,2,1,41434
270543,1,1,41435
270544,2,1,41435
270545,1,1,41436
270546,2,4,41436
270547,1,1,41437
270548,2,4,41437
270551,1,1,41439
270552,2,4,41439
270553,1,1,41440
270554,2,1,41440
270555,1,1,41441
270556,2,1,41441
270557,2,1,41442
270558,1,4,41442
270559,1,1,41444
270560,2,1,41444
270561,1,1,41445
270562,2,1,41445
270563,1,1,41446
270564,2,1,41446
270565,1,1,41447
270566,2,4,41447
270567,1,1,41448
270568,2,2,41448
270569,1,1,41449
270570,2,4,41449
270571,1,1,41450
270572,2,4,41450
270573,1,1,41451
270574,2,4,41451
270575,1,1,41452
270576,2,4,41452
270577,1,1,41453
270578,2,4,41453
270579,1,1,41454
270580,2,4,41454
270581,1,1,41455
270582,2,4,41455
270583,1,1,41456
270584,2,4,41456
270585,1,1,41457
270586,2,4,41457
270587,1,1,41458
270588,2,1,41458
270589,1,1,41459
270590,2,1,41459
270591,1,1,41460
270592,2,1,41460
270593,1,1,41461
270594,2,4,41461
270595,1,1,41462
270596,2,4,41462
270597,1,1,41463
270598,2,4,41463
270599,1,1,41464
270600,2,4,41464
270601,1,1,41465
270602,2,1,41465
270603,1,1,41466
270604,2,4,41466
270605,1,1,41467
270606,2,4,41467
270607,1,1,41468
270608,2,1,41468
270609,1,1,41469
270610,2,4,41469
270611,1,1,41470
270612,2,4,41470
270613,1,1,41471
270614,2,1,41471
270615,1,1,41472
270616,2,4,41472
270617,1,1,41473
270618,2,4,41473
270619,1,1,41474
270620,2,4,41474
270621,1,1,41475
270622,2,4,41475
270623,1,1,41476
270624,2,1,41476
270625,1,1,41477
270626,2,4,41477
270627,1,1,41478
270628,2,4,41478
270629,1,1,41479
270630,2,1,41479
270631,1,1,41480
270632,2,1,41480
270633,1,1,41481
270634,2,1,41481
270635,1,1,41482
270636,2,4,41482
270637,1,1,41483
270638,2,1,41483
270639,1,1,41484
270640,2,1,41484
270641,1,1,41485
270642,2,4,41485
270643,1,1,41486
270644,2,4,41486
270645,1,1,41487
270646,2,1,41487
270647,1,1,41488
270648,2,4,41488
270649,1,1,41489
270650,2,4,41489
270653,1,1,41491
270654,2,4,41491
270655,1,1,41492
270656,2,4,41492
