epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2977.57,1.63378,2.90562,1.71387,0.61776,0.59996,0.58779,0.36234,1.25377,2.38119,1.33629,0.00999564,0.00333188,0.00999564,0.00333188,0.00999564,0.00333188,0.00999564,0.00333188
2,5642.34,1.35859,1.48814,1.42691,0.61872,0.52034,0.51605,0.15509,2.38077,2.12454,2.21279,0.0195997,0.00653324,0.0195997,0.00653324,0.0195997,0.00653324,0.0195997,0.00653324
3,8291.02,1.36766,1.54455,1.40894,0.72022,0.64816,0.70474,0.44645,1.28952,1.36911,1.17103,0.0288078,0.0096026,0.0288078,0.0096026,0.0288078,0.0096026,0.0288078,0.0096026
4,10849.1,1.32515,1.45126,1.37544,0.74331,0.73001,0.774,0.48208,1.20649,1.20539,1.13673,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,13484.1,1.25127,1.29079,1.3108,0.70033,0.66232,0.68533,0.45221,1.1642,1.23615,1.11114,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,16008.3,1.17734,1.18163,1.25913,0.75473,0.80164,0.82516,0.51929,1.16972,0.9383,1.11124,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,18549,1.14603,1.13365,1.2494,0.79287,0.8326,0.87875,0.59406,1.03392,0.79805,1.04872,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,21070.6,1.1123,1.09077,1.209,0.74495,0.73397,0.78119,0.54303,1.0185,0.99414,1.02236,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,23599,1.08025,1.07205,1.19078,0.7881,0.84304,0.88295,0.61304,0.983,0.74855,1.01479,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,26138.6,1.04085,1.01716,1.16536,0.77489,0.84037,0.87756,0.61186,0.97482,0.74439,1.01619,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,28666.5,1.02822,1.02681,1.15804,0.79158,0.85383,0.88671,0.62502,0.95146,0.70573,1.00257,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,31193.2,1.00116,0.98903,1.14026,0.77525,0.83768,0.86968,0.6125,0.97315,0.74526,1.00977,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,33744.6,0.99729,0.98,1.13982,0.7925,0.85449,0.88878,0.62898,0.95006,0.6938,1.00433,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,36310.9,0.98181,0.9561,1.13326,0.80695,0.8567,0.90182,0.63843,0.94474,0.67462,1.00118,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,38857.6,0.96481,0.94682,1.11563,0.80233,0.86351,0.89729,0.64007,0.92572,0.67852,0.99213,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,41398.9,0.95575,0.94804,1.10969,0.80985,0.86665,0.90989,0.64788,0.93117,0.64778,0.9993,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,44178.3,0.95167,0.93595,1.10174,0.79962,0.87896,0.90762,0.65225,0.92574,0.63776,0.99419,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,46885.6,0.9358,0.90279,1.10058,0.80191,0.87461,0.90851,0.65343,0.91827,0.63782,0.99116,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,49535.7,0.9268,0.9187,1.09073,0.80552,0.87929,0.90776,0.64837,0.93417,0.64059,0.99959,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,52228.2,0.92228,0.8929,1.08771,0.80205,0.88125,0.90914,0.653,0.92136,0.63583,0.99361,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,54909.5,0.9206,0.90155,1.08182,0.80692,0.87521,0.91221,0.65689,0.91167,0.62811,0.98942,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,57581.8,0.90608,0.86918,1.07419,0.81911,0.86021,0.91125,0.65554,0.90985,0.6288,0.9903,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,61370.6,0.9087,0.8896,1.08066,0.81893,0.8651,0.91251,0.65503,0.91593,0.62505,0.99208,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,65536.1,0.89983,0.89003,1.07474,0.80448,0.8828,0.91409,0.65604,0.91519,0.62114,0.99183,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,69207.2,0.88927,0.88087,1.06729,0.80092,0.8879,0.91565,0.65939,0.9093,0.61651,0.99081,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
